,question,q_id,interview_phase,position,distance
0,"Describe a situation where you had to delegate tasks to team members. How did you ensure clarity, accountability, and the successful completion of the project?",q_id450,Behavioral,Customer Service Manager,0.799769401550293
1,Do you work well with other people?,q_id452,Behavioral,Customer Service Manager,0.7896933555603027
2,Share an experience where you had to handle a difficult team member or coworker. How did you approach the situation and resolve conflicts?,q_id446,Situational,Customer Service Manager,0.7854723930358887
