,question,q_id,interview_phase,position,distance
0,Explain the terms CSAT and NPS.,q_id141,Role Specific,Customer Service Agent,0.9793686270713806
1," When responding to a customer, how do you decide what information to include and what to leave out?",q_id138,Role Specific,Customer Service Agent,0.9747551083564758
2,"Have you ever deal with an unreasonable customer? How did you handle it, and how would you handle it today?",q_id218,Situational,Customer Service Agent,0.9371333718299866
